,jop_title,company_name,location,type,links
81,Research Software Development Engineer,TensorGraph -,"Maadi, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/u3KP1NfDlo6Z-Research-Software-Development-Engineer-TensorGraph-Cairo-Egypt?o=82&l=sp&t=sj&a=data%20science|search-v3|hpb
82,Senior IT Systems & Network Admin,Confidential -,"New Cairo, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/l4b5Snn3Relm-Senior-IT-Systems-Network-Admin-Cairo-Egypt?o=83&l=sp&t=sj&a=data%20science|search-v3|hpb
83,Product Owner,Digisay -,"Zamalek, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/OHxMZ213UJOi-Product-Owner-Digisay-Cairo-Egypt?o=84&l=sp&t=sj&a=data%20science|search-v3|hpb
84,IT Infrastructure Engineer,Efada Technology -,"Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/6zSlkxyG9wjM-IT-Infrastructure-Engineer-Efada-Technology-Cairo-Egypt?o=85&l=sp&t=sj&a=data%20science|search-v3|hpb
85,Virtualization Specialist Engineer,Perfect Presentation -,"6th of October, Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/wzlHwpw1mzGP-Virtualization-Specialist-Engineer-Perfect-Presentation-Giza-Egypt?o=86&l=sp&t=sj&a=data%20science|search-v3|hpb
86,Software Engineer - Kuwait,RDI -,"Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/fILb5T14SNpB-Software-Engineer---Kuwait-RDI-Cairo-Egypt?o=87&l=sp&t=sj&a=data%20science|search-v3|hpb
87,Senior Software Business Analyst / Product Owner,New Innovation Technologies -,"Nasr City, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/zPBecH8DWYir-Senior-Software-Business-Analyst-Product-Owner-New-Innovation-Technologies-Cairo-Egypt?o=88&l=sp&t=sj&a=data%20science|search-v3|hpb
88,Senior Java Developer,Aman Holding -,"Nasr City, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/8uQh44Y2b30r-Senior-Java-Developer-Aman-Holding-Cairo-Egypt?o=89&l=sp&t=sj&a=data%20science|search-v3|hpb
89,IT Infrastructure & Security Engineer,Marakez -,"New Cairo, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/DRzAymXjWFwo-IT-Infrastructure-Security-Engineer-Marakez-Cairo-Egypt?o=90&l=sp&t=sj&a=data%20science|search-v3|hpb
90,IT Technician,Egyptian Contracting Centre -,"Mohandessin, Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/UQHr2Aklq8zf-IT-Technician-Egyptian-Contracting-Centre-Giza-Egypt?o=91&l=sp&t=sj&a=data%20science|search-v3|hpb
91,Business Intelligence Analyst,WebBeds -,"Nasr City, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/GHJHSUJJKEDo-Business-Intelligence-Analyst-WebBeds-Cairo-Egypt?o=92&l=sp&t=sj&a=data%20science|search-v3|hpb
92,Part Time IT Specialist,Keswa -,"Nasr City, Cairo, Egypt ",Part Time,https://wuzzuf.net/jobs/p/ejOZTmx6NHKW-Part-Time-IT-Specialist-Keswa-Cairo-Egypt?o=93&l=sp&t=sj&a=data%20science|search-v3|hpb
93,Senior MS Dynamics AX Developer - Cairo,FlairsTech -,"Maadi, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/pqOKZkKdfntc-Senior-MS-Dynamics-AX-Developer---Cairo-FlairsTech-Cairo-Egypt?o=94&l=sp&t=sj&a=data%20science|search-v3|hpb
94,Software Technical Support Engineer,GET Group- Egypt -,"Sheraton, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/4uDFHQ8u7auC-Software-Technical-Support-Engineer-GET-Group--Egypt-Cairo-Egypt?o=95&l=sp&t=sj&a=data%20science|search-v3|hpb
95,Mid React Frontend Developer,Xceed -,"Dokki, Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/az5NtUDtLCLq-Mid-React-Frontend-Developer-Xceed-Giza-Egypt?o=96&l=sp&t=sj&a=data%20science|search-v3|hpb
96,Senior React Frontend Developer,Xceed -,"Dokki, Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/VSjSdBirYyrw-Senior-React-Frontend-Developer-Xceed-Giza-Egypt?o=97&l=sp&t=sj&a=data%20science|search-v3|hpb
97,Backend Developer,SATA Group -,"Nasr City, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/GPlTd9YEuFHG-Backend-Developer-SATA-Group-Cairo-Egypt?o=98&l=sp&t=sj&a=data%20science|search-v3|hpb
98,Network Engineer,EGIC -,"Manial, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/p97H8knVQNAN-Network-Engineer-EGIC-Cairo-Egypt?o=99&l=sp&t=sj&a=data%20science|search-v3|hpb
99,Python Backend Developer,Bydotpy -,"New Cairo, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/A1z5DK0essUs-Python-Backend-Developer-Bydotpy-Cairo-Egypt?o=100&l=sp&t=sj&a=data%20science|search-v3|hpb
100,IT Administrator,Dafa -,"Haram, Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/N4y7ai8wJlzy-IT-Administrator-Dafa-Giza-Egypt?o=101&l=sp&t=sj&a=data%20science|search-v3|hpb
101,Software Quality Engineer,Smartpan -,"Nasr City, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/ZuocWcoFoLcp-Software-Quality-Engineer-Smartpan-Cairo-Egypt?o=102&l=sp&t=sj&a=data%20science|search-v3|hpb
102,IT Technical Support Specialist (Work Will Be Allocated In Africa) 22001,Confidential -,"Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/2w7hAoSRy4mE-IT-Technical-Support-Specialist-Work-Will-Be-Allocated-In-Africa-22001-Cairo-Egypt?o=103&l=sp&t=sj&a=data%20science|search-v3|hpb
103,Senior QA Cleaning Validation,Jamjoom Pharma -,"Obour City, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/asdZZHAT1qLw-Senior-QA-Cleaning-Validation-Jamjoom-Pharma-Cairo-Egypt?o=104&l=sp&t=sj&a=data%20science|search-v3|hpb
104,IT Help Desk Technical Support,ALsultan Hypermarket -,"6th of October, Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/NLLV9xIJGoX1-IT-Help-Desk-Technical-Support-ALsultan-Hypermarket-Giza-Egypt?o=105&l=sp&t=sj&a=data%20science|search-v3|hpb
